model_id,family,info_set,n_endog,relRMSE_GDP_h1,relRMSE_INF_h1,relRMSE_POLICY_h1,relRMSE_FX_h1,mean_relRMSE_h1,relRMSE_GDP_h4,relRMSE_INF_h4,relRMSE_POLICY_h4,relRMSE_FX_h4,mean_relRMSE_h4
AR(BIC),benchmark,-,1,0.8838,1.0116,0.6842,0.816,0.8489,0.7338,1.0011,0.8211,0.7508,0.8267
BVAR-Loose:small,bvar,small,4,0.8269,1.0541,0.8209,0.8114,0.8783,0.7157,1.0001,1.0185,0.8077,0.8855
Ridge:small,ridge,small,4,0.7836,1.0707,0.8207,0.842,0.8792,0.7013,0.9953,1.0178,0.7995,0.8784
OLS:small,ols,small,4,0.8651,1.0582,0.8175,0.8407,0.8954,0.7363,0.9854,1.0658,0.8151,0.9007
BVAR-Tight:small,bvar,small,4,0.6921,1.1804,0.8764,0.8492,0.8995,0.6944,1.0833,0.9572,0.7903,0.8813
ENet:small,enet,small,4,0.8106,1.0577,0.9369,0.8149,0.905,0.7098,1.0088,1.0856,0.7921,0.8991
LASSO:small,lasso,small,4,0.823,1.0555,0.9302,0.8152,0.906,0.7073,1.008,1.1025,0.7814,0.8998
BVAR-Tight:wide,bvar,wide,10,0.7433,1.1678,0.9847,0.8419,0.9344,0.6995,1.0565,0.9775,0.7794,0.8782
Ridge:wide,ridge,wide,10,0.9549,1.1335,0.9733,0.8208,0.9706,0.7625,1.0,1.1716,0.7688,0.9257
RW,benchmark,-,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LASSO:wide,lasso,wide,10,1.1002,1.0567,1.0728,0.8237,1.0133,1.0985,1.0577,1.5496,0.7487,1.1136
ENet:wide,enet,wide,10,1.0163,1.0595,1.2019,0.8099,1.0219,0.7997,1.0169,1.3881,0.7579,0.9906
OLS:wide(overfit),ols,wide,10,1.2088,1.1738,0.9589,0.9242,1.0664,1.0482,0.9185,1.5277,1.105,1.1498
