model_id,endogenous_set,exogenous_set,var_lag_order,n_params,T_train,T_over_params,stability_pass,max_eig_modulus,whiteness_pvalue,cond_number,AIC,BIC,HQIC,relRMSE_GDP_h1,relRMSE_INF_h1,relRMSE_POLICY_h1,relRMSE_FX_h1,mean_relRMSE_h1,avg_rank_h1,relRMSE_GDP_h4,relRMSE_INF_h4,relRMSE_POLICY_h4,relRMSE_FX_h4,mean_relRMSE_h4,avg_rank_h4,passes_hard_filters
CORE+WEALTH+OIL(x),GDP+INF+POLICY+FX+WEALTH,OIL,2,60,122,2.03,True,0.9294,0.0,1.12e+04,1.424,2.803,1.984,0.9062,0.9556,1.0332,0.8204,0.9288,2.25,0.7984,0.9854,1.2802,0.847,0.9778,3.5,False
CORE+WEALTH,GDP+INF+POLICY+FX+WEALTH,-,2,55,122,2.22,True,0.9263,0.0,7.79e+03,1.661,2.925,2.175,0.8771,0.9746,1.0888,0.8569,0.9494,3.5,0.7826,1.0344,1.2963,0.9351,1.0121,4.75,False
CORE+OIL(x),GDP+INF+POLICY+FX,OIL,2,40,122,3.05,True,0.9216,0.0,9.68e+03,-2.871,-1.951,-2.497,1.0546,1.052,0.8234,0.8555,0.9464,4.0,0.8197,1.0539,1.1506,0.7193,0.9359,3.0,False
CORE,GDP+INF+POLICY+FX,-,2,36,122,3.39,True,0.915,0.0,2.22e+03,-2.511,-1.684,-2.175,1.0387,1.1135,0.8381,0.8622,0.9631,4.75,0.8165,1.147,1.1797,0.6978,0.9602,3.0,False
CORE+HOUSING,GDP+INF+POLICY+FX+HOUSING,-,2,55,122,2.22,True,0.9013,0.0,5.21e+03,0.279,1.543,0.792,0.9328,0.9914,1.0465,0.8947,0.9664,4.75,0.8791,0.9834,1.3015,0.9477,1.0279,6.5,False
CORE+INV,GDP+INF+POLICY+FX+INV,-,2,55,122,2.22,True,0.9124,0.0,1.04e+04,2.325,3.59,2.839,1.0025,1.1899,0.9803,0.8575,1.0076,5.25,0.834,1.1595,1.2704,0.8826,1.0366,5.5,False
CORE+TFP(x),GDP+INF+POLICY+FX,TFP,2,40,122,3.05,True,0.913,0.0,2.30e+03,-2.461,-1.542,-2.088,1.0413,1.1308,0.854,0.8661,0.9731,5.75,0.837,1.1597,1.1954,0.699,0.9728,4.75,False
CORE+FISCAL,GDP+INF+POLICY+FX+FISCAL,-,2,55,122,2.22,True,0.9149,0.0,2.56e+03,-0.397,0.867,0.117,0.9573,1.0295,1.0499,0.9158,0.9881,5.75,0.8694,1.0584,1.2879,0.9981,1.0535,7.0,False
CORE+EXPORTS,GDP+INF+POLICY+FX+EXPORTS,-,2,55,122,2.22,True,0.9146,0.0,8.77e+03,2.051,3.315,2.565,1.0902,1.3284,1.2291,0.9681,1.1539,9.0,0.9396,1.165,1.3689,0.9282,1.1004,8.5,False
CORE+CONS,GDP+INF+POLICY+FX+CONS,-,3,80,121,1.51,True,0.8971,0.0,1.06e+04,-0.766,1.082,-0.016,1.4286,1.3472,1.391,1.1041,1.3177,10.0,2.9978,1.5204,2.7271,0.7891,2.0086,8.5,False
