model_id,endogenous_set,exogenous_set,var_lag_order,n_params,T_train,T_over_params,stability_pass,max_eig_modulus,whiteness_pvalue,cond_number,AIC,BIC,HQIC,relRMSE_GDP_h1,relRMSE_INF_h1,relRMSE_POLICY_h1,relRMSE_FX_h1,mean_relRMSE_h1,avg_rank_h1,relRMSE_GDP_h4,relRMSE_INF_h4,relRMSE_POLICY_h4,relRMSE_FX_h4,mean_relRMSE_h4,avg_rank_h4,passes_hard_filters
CORE+WEALTH+OIL(x),GDP+INF+POLICY+FX+WEALTH,OIL,2,60,125,2.08,True,0.9114,0.043,4.62e+03,7.621,8.979,8.173,0.7201,1.0344,1.0624,0.8376,0.9136,1.75,0.6956,1.0338,1.0236,0.7976,0.8877,3.0,False
CORE+OIL(x),GDP+INF+POLICY+FX,OIL,2,40,125,3.12,True,0.8971,0.1447,3.93e+03,3.505,4.41,3.873,0.8372,1.0708,1.1212,0.8367,0.9665,2.5,0.7034,0.9852,1.0049,0.8194,0.8782,3.5,True
CORE+WEALTH,GDP+INF+POLICY+FX+WEALTH,-,2,55,125,2.27,True,0.9145,0.1437,3.31e+03,7.988,9.233,8.494,0.7354,1.0523,1.1517,0.8497,0.9473,3.0,0.696,1.0514,1.0743,0.7811,0.9007,2.5,False
CORE+HOUSING,GDP+INF+POLICY+FX+HOUSING,-,2,55,125,2.27,True,0.8912,0.0001,2.12e+03,6.729,7.973,7.235,0.8663,1.1188,1.2863,0.8651,1.0341,5.5,0.7256,1.0225,1.1253,0.7909,0.9161,3.75,False
CORE+EXPORTS,GDP+INF+POLICY+FX+EXPORTS,-,2,55,125,2.27,True,0.8993,0.038,4.14e+03,7.721,8.965,8.226,0.887,1.1674,1.3748,0.8543,1.0709,6.0,0.7402,1.1144,1.3483,0.7875,0.9976,6.0,False
CORE,GDP+INF+POLICY+FX,-,2,36,125,3.47,True,0.9002,0.3963,1.63e+03,4.019,4.834,4.35,0.8986,1.1793,1.197,0.8898,1.0412,6.25,0.7209,1.0681,1.1329,0.8019,0.9309,5.5,True
CORE+INV,GDP+INF+POLICY+FX+INV,-,2,55,125,2.27,True,0.9012,0.1385,4.33e+03,8.313,9.558,8.819,0.9554,1.235,1.3711,0.834,1.0989,6.5,0.7419,1.1137,1.2919,0.793,0.9851,6.75,False
CORE+TFP(x),GDP+INF+POLICY+FX,TFP,2,40,125,3.12,True,0.8933,0.4257,1.64e+03,4.064,4.969,4.432,0.928,1.1816,1.2321,0.8925,1.0585,7.5,0.7416,1.0788,1.2049,0.8002,0.9564,6.5,True
CORE+FISCAL,GDP+INF+POLICY+FX+FISCAL,-,2,55,125,2.27,True,0.9016,0.1447,1.64e+03,6.154,7.398,6.66,0.9089,1.1818,1.3873,0.8597,1.0844,7.75,0.803,1.1621,1.4383,0.7893,1.0482,7.5,False
CORE+CONS,GDP+INF+POLICY+FX+CONS,-,2,55,125,2.27,True,0.8968,0.0769,1.73e+03,5.361,6.606,5.867,1.1701,1.257,1.6527,0.8373,1.2293,8.25,1.7203,1.5305,2.6778,0.8291,1.6894,10.0,False
