model,variable,h,n,RMSE,CRPS,LogScore,country
RW,gdp_yoy,1,53,2.43,0.997,-3.068,US
RW,gdp_yoy,4,53,3.862,1.656,-2.96,US
RW,gdp_yoy,8,53,3.147,1.578,-2.617,US
RW,inflation_yoy,1,53,0.791,0.434,-1.223,US
RW,inflation_yoy,4,53,2.157,1.178,-2.288,US
RW,inflation_yoy,8,53,2.849,1.58,-2.556,US
RW,reer_yoy,1,53,3.079,1.775,-2.556,US
RW,reer_yoy,4,53,7.316,4.228,-3.434,US
RW,reer_yoy,8,53,7.409,4.313,-3.475,US
RW,y10,1,53,0.357,0.2,-0.4,US
RW,y10,4,53,0.872,0.506,-1.371,US
RW,y10,8,53,1.357,0.793,-1.902,US
RW,policy,1,53,0.397,0.209,-0.584,US
RW,policy,4,53,1.297,0.664,-1.921,US
RW,policy,8,53,2.062,1.142,-2.529,US
AR1,gdp_yoy,1,53,2.218,0.887,-3.045,US
AR1,gdp_yoy,4,53,2.993,1.226,-2.845,US
AR1,gdp_yoy,8,53,2.392,1.109,-2.653,US
AR1,inflation_yoy,1,53,0.83,0.445,-1.256,US
AR1,inflation_yoy,4,53,1.998,1.058,-2.517,US
AR1,inflation_yoy,8,53,2.258,1.207,-2.865,US
AR1,reer_yoy,1,53,2.978,1.725,-2.52,US
AR1,reer_yoy,4,53,5.962,3.438,-3.268,US
AR1,reer_yoy,8,53,5.652,3.207,-3.17,US
AR1,y10,1,53,0.368,0.206,-0.443,US
AR1,y10,4,53,0.904,0.545,-1.6,US
AR1,y10,8,53,1.345,0.84,-2.418,US
AR1,policy,1,53,0.412,0.214,-0.608,US
AR1,policy,4,53,1.309,0.672,-2.073,US
AR1,policy,8,53,2.005,1.119,-2.854,US
VAR_OLS,gdp_yoy,1,53,3.039,1.518,-5.159,US
VAR_OLS,gdp_yoy,4,53,3.993,2.171,-3.607,US
VAR_OLS,gdp_yoy,8,53,3.531,1.924,-3.097,US
VAR_OLS,inflation_yoy,1,53,1.431,0.788,-2.842,US
VAR_OLS,inflation_yoy,4,53,3.689,1.985,-5.058,US
VAR_OLS,inflation_yoy,8,53,3.31,1.935,-3.261,US
VAR_OLS,reer_yoy,1,53,5.95,2.907,-5.877,US
VAR_OLS,reer_yoy,4,53,8.211,4.923,-3.925,US
VAR_OLS,reer_yoy,8,53,10.438,6.092,-4.036,US
VAR_OLS,y10,1,53,0.638,0.37,-1.944,US
VAR_OLS,y10,4,53,1.518,0.934,-3.602,US
VAR_OLS,y10,8,53,2.218,1.375,-4.21,US
VAR_OLS,policy,1,53,0.701,0.385,-2.579,US
VAR_OLS,policy,4,53,2.339,1.439,-6.752,US
VAR_OLS,policy,8,53,4.199,2.712,-10.703,US
BVAR_noshock,gdp_yoy,1,53,2.233,0.904,-3.131,US
BVAR_noshock,gdp_yoy,4,53,2.881,1.279,-2.992,US
BVAR_noshock,gdp_yoy,8,53,2.369,1.11,-2.773,US
BVAR_noshock,inflation_yoy,1,53,0.823,0.439,-1.272,US
BVAR_noshock,inflation_yoy,4,53,1.99,1.036,-2.264,US
BVAR_noshock,inflation_yoy,8,53,2.299,1.191,-2.547,US
